"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"1","Stephen Curry",7.11,1.51,8.62,0.34,0.6,5.54,0.34,0.19,1.11,2014,2016
"2","Draymond Green",3.55,4.91,8.45,0.51,-0.3,3.4,0.97,0.56,3.45,2014,2016
"3","LeBron James",6.08,2.35,8.43,0.33,0.69,5.2,0.71,0.65,1.18,2014,2016
"4","Kawhi Leonard",3.44,4.55,7.99,1.55,-0.69,2.63,0.6,1.57,2.69,2014,2016
"5","Khris Middleton",3.97,3.86,7.83,0.74,0.28,3.16,2.03,-0.97,2.8,2014,2016
"6","Chris Paul",5.74,1.59,7.32,1.72,0.33,4.06,0.33,0.03,1.31,2014,2016
"7","Kyle Korver",4.3,2.32,6.62,0.44,-1.49,5.33,0.17,0.08,2.18,2014,2016
"8","James Harden",6.29,0.01,6.3,0.61,1.24,4.29,0.44,-0.68,0.06,2014,2016
"9","Kevin Durant",4.32,1.81,6.12,0.03,0.59,4.18,-0.99,0.4,2.58,2014,2016
"10","Russell Westbrook",6.14,-0.64,5.5,1.2,1.76,3.59,0.17,0.16,-0.98,2014,2016
"11","Kyle Lowry",3.06,1.89,4.95,0.4,0.82,1.95,1.35,0.39,0.32,2014,2016
"12","Manu Ginobili",1.69,3.14,4.84,-0.65,0.41,1.65,1.65,-0.52,2.08,2014,2016
"13","Patrick Patterson",4.91,-0.16,4.76,1.59,0.88,2.24,0.22,-0.95,0.39,2014,2016
"14","Ricky Rubio",2,2.68,4.68,0.73,-0.06,1.49,1.31,0.18,1.12,2014,2016
"15","DeMarcus Cousins",0.96,3.65,4.62,-1.4,0.11,2.25,0.52,1.74,1.45,2014,2016
"16","JJ Redick",2.31,2.24,4.55,0.62,-0.32,1.68,-0.16,0.37,2.11,2014,2016
"17","Danny Green",2.36,2.19,4.55,0.64,-0.01,1.49,-0.08,0.65,1.92,2014,2016
"18","Michael Kidd-Gilchrist",0.45,4.07,4.52,-0.22,1.09,-0.64,-0.52,2.12,2.4,2014,2016
"19","Klay Thompson",4.19,0.33,4.52,0.47,-0.99,4.83,-0.02,-0.15,0.48,2014,2016
"20","Kentavious Caldwell-Pope",3.15,1.28,4.43,0.87,1.61,0.74,0.06,-0.04,1.44,2014,2016
"21","DeAndre Jordan",3.17,1.12,4.28,0.74,0.98,1.37,-0.41,0.54,0.95,2014,2016
"22","John Wall",2.3,1.98,4.28,0.73,-0.21,1.57,1.25,0.22,0.99,2014,2016
